_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry,Latitude,Longitude,area,score
1526,1429,13061,POWER HOUSE RECREATION CENTRE,Community Centre,"Washroom, Wi-Fi",65 COLONEL SAMUEL SMITH PARK DR,416-338-1081,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1429,"{""coordinates"": [[-79.5153435701392, 43.5935244408179]], ""type"": ""MultiPoint""}",43.5935244408179,-79.5153435701392,other,0.3788831888968067
1527,1856,29554,LEASIDE CURLING CLUB,Community Centre,,1075 MILLWOOD RD,647-748-2875,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1856,"{""coordinates"": [[-79.3609009628909, 43.7009650718377]], ""type"": ""MultiPoint""}",43.7009650718377,-79.3609009628909,other,0.07953627335415708
1528,675,612,LAWRENCE HEIGHTS COMMUNITY CENTRE,Community Centre,"Skateboarding, Washroom, Wi-Fi",5 REPLIN RD,416-395-6118,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=675,"{""coordinates"": [[-79.4422180148869, 43.7180487666781]], ""type"": ""MultiPoint""}",43.7180487666781,-79.4422180148869,other,0.423287750452051
1529,858,6201,PARK LAWN BUBBLE RINK,Community Centre,"Ball Diamond, Pickleball Court, Playground, Sports Field, Tennis Court, Washroom",340 PARK LAWN RD,416-394-8470,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=858,"{""coordinates"": [[-79.4955210553856, 43.6391576966085]], ""type"": ""MultiPoint""}",43.6391576966085,-79.4955210553856,other,0.5269571359128334
1530,642,13027,GORD AND IRENE RISK COMMUNITY RECREATION CENTRE,Community Centre,"Washroom, Wi-Fi",2650 FINCH AVE W,416-395-0355,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=642,"{""coordinates"": [[-79.5665092529554, 43.747436550902]], ""type"": ""MultiPoint""}",43.747436550902,-79.5665092529554,other,0.25320238902958936
1531,509,1820,JOSEPH J. PICCININNI COMMUNITY RECREATION CENTRE,Community Centre,"Washroom, Wi-Fi",1369 ST CLAIR AVE W,416-392-0036,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=509,"{""coordinates"": [[-79.451449928818, 43.675320724325]], ""type"": ""MultiPoint""}",43.675320724325,-79.451449928818,other,0.3698182506601076
1532,797,1885,NORSEMAN COMMUNITY SCHOOL AND POOL,Community Centre,"Washroom, Wi-Fi",105 NORSEMAN ST,416-394-8719,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=797,"{""coordinates"": [[-79.5164833602343, 43.6342945530329]], ""type"": ""MultiPoint""}",43.6342945530329,-79.5164833602343,other,0.35995709621153216
1533,3119,100544,LAKESHORE COLLEGIATE INSTITUTE,Community Centre,,350 Kipling Ave,416-394-7650,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3119,"{""coordinates"": [[-79.5190402155515, 43.6015249541995]], ""type"": ""MultiPoint""}",43.6015249541995,-79.5190402155515,other,0.16780262524748235
1534,267,1943,S.H. ARMSTRONG COMMUNITY RECREATION CENTRE,Community Centre,"Skateboarding, Washroom, Wi-Fi",56 WOODFIELD RD,416-392-0734,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=267,"{""coordinates"": [[-79.3228166106666, 43.6659034912586]], ""type"": ""MultiPoint""}",43.6659034912586,-79.3228166106666,other,0.5
1535,3732,101347,ONE YONGE COMMUNITY RECREATION CENTRE,Community Centre,"Washroom, Wi-Fi",24 Freeland St,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3732,"{""coordinates"": [[-79.3739985252733, 43.6437949740879]], ""type"": ""MultiPoint""}",43.6437949740879,-79.3739985252733,waterfront,1.0
1536,2791,45042,PARKWAY FOREST COMMUNITY CENTRE,Community Centre,Wi-Fi,55 FOREST MANOR RD,416-392-6383,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2791,"{""coordinates"": [[-79.3436070411884, 43.7725666040359]], ""type"": ""MultiPoint""}",43.7725666040359,-79.3436070411884,other,0.2755107062167397
1537,329,317,EAST YORK COMMUNITY RECREATION CENTRE,Community Centre,"Washroom, Wi-Fi",1081 1/2 PAPE AVE,416-396-2880,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=329,"{""coordinates"": [[-79.3492559023062, 43.6917662225624]], ""type"": ""MultiPoint""}",43.6917662225624,-79.3492559023062,other,0.4
1538,308,1740,FAIRMOUNT PARK COMMUNITY CENTRE,Community Centre,Washroom,1757 GERRARD ST E,416-392-7060,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=308,"{""coordinates"": [[-79.3149233094957, 43.6766857433726]], ""type"": ""MultiPoint""}",43.6766857433726,-79.3149233094957,other,0.212737582103233
1539,482,13487,FAIRBANK MEMORIAL COMMUNITY CENTRE,Community Centre,"Washroom, Wi-Fi",2213 DUFFERIN ST,416-394-2473,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=482,"{""coordinates"": [[-79.4479867215526, 43.6912994410153]], ""type"": ""MultiPoint""}",43.6912994410153,-79.4479867215526,other,0.2595564618400086
1540,638,2074,GLEN LONG COMMUNITY CENTRE,Community Centre,"Outdoor Dry Pad, Washroom, Wi-Fi",35 GLEN LONG AVE,416-395-7921,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=638,"{""coordinates"": [[-79.4558674983764, 43.7087783675771]], ""type"": ""MultiPoint""}",43.7087783675771,-79.4558674983764,other,0.3080362241986538
